trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.96, 'e': 0.96}",25,0,-195.89633108220994,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.96, 'e': 0.9216}",20,0,-50.98661929316191,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.96, 'e': 0.8847359999999999}",25,0,-144.4921926751877,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.96, 'e': 0.8493465599999999}",25,0,-70.11693703082861,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.96, 'e': 0.8153726975999999}",20,0,-21.059979456049653,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.96, 'e': 0.7827577896959999}",30,17,-18.03400464177439,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.96, 'e': 0.7514474781081598}",20,0,-94.64123851653608,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.96, 'e': 0.7213895789838334}",20,0,-60.10025277162025,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.96, 'e': 0.69253399582448}",30,0,-43.224639218257785,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.96, 'e': 0.6648326359915008}",20,0,-85.03750783406839,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.96, 'e': 0.6382393305518408}",25,8,-118.24494149204048,"{0: 9, 1: 0, 2: 5, 3: 2, 4: 1}",1
12,False,"{'a': 0.96, 'e': 0.6127097573297671}",20,0,-71.01429006058876,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.96, 'e': 0.5882013670365764}",30,0,-34.12336399401841,"{0: 21, 1: 6, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.96, 'e': 0.5646733123551133}",25,0,-84.86887464010859,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.96, 'e': 0.5420863798609088}",20,6,-16.104910033028222,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.96, 'e': 0.5204029246664724}",25,10,21.01409597142612,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.96, 'e': 0.49958680767981345}",20,0,-54.43092615087514,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.96, 'e': 0.4796033353726209}",30,0,-3.3561955865214377,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.96, 'e': 0.4604192019577161}",30,0,-54.44737356112918,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.96, 'e': 0.4420024338794074}",30,5,-47.50278593926884,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.96, 'e': 0.42432233652423107}",20,5,17.99675402820196,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
